ID,Name,Category,Effort,Novelty,Status,Pitch,Why USP
ai-1,"Conversational map (multi-turn)","AI & Intelligence",Small,Rare,"Partial — extend","Remember context across asks: 'restaurants near here', then 'only veg ones', then 'route me there'.","Google Maps still treats every query as one-shot. Extends your existing AskMaps panel."
ai-2,"AI trip planner","AI & Intelligence",Medium,Rare,"Not started","'Plan a 3-day temple tour from Bangalore' → auto-generated routed itinerary using your saved places.","Nobody combines personal-place library + LLM routing well today."
ai-3,"Photo → place extractor","AI & Intelligence",Medium,Breakthrough,"Not started","Drop a photo, AI guesses location via landmarks/EXIF/visual recognition and pre-fills the Add Place form.","Removes 80% of the friction of contributing."
ai-4,"Voice-first hands-free mode","AI & Intelligence",Medium,Rare,"Not started","Push-to-talk navigation with offline TTS narration; ideal for two-wheelers and trekkers.","Google requires data; Apple is iOS-only; nothing serves Indic-language voice well."
ai-5,"AI duplicate/spam moderator","AI & Intelligence",Small,Rare,"Not started","LLM-scored auto-flag for duplicate / wrong-category / abusive places before they hit the approval queue.","Lets the approval scheduler scale to millions of contributions."
ai-6,"Region summary on draw","AI & Intelligence",Small,Rare,"Partial — extend","Draw any polygon → AI summarises 'what's here' (5 hotels, 12 cafes, 2 ATMs, 1 hospital) with one-paragraph vibe description.","Natural extension of your PolygonExplorePanel."
ai-7,"Route → travelogue generator","AI & Intelligence",Medium,Breakthrough,"Not started","Pick any past trip, AI writes a shareable travel blog using your pins, photos, and timestamps.","Turns the map into a creator-economy surface; deep moat once users have months of trips."
ai-8,"Natural-language map edits","AI & Intelligence",Medium,Breakthrough,"Not started","'Move all my home pins one street north' or 'merge these three duplicate temples' — LLM-mediated bulk edits.","Power-user superpower no map app offers."
hyp-1,"Deep regional-language UI","Hyperlocal & Cultural",Medium,Rare,"Partial — extend","First-class Kannada, Tulu, Konkani, Marathi, Tamil with localised category names, RTL where needed.","Already have atozas-translate; doubling down on under-served Indic languages is a defensible USP vs Google."
hyp-2,"Hyperlocal category set","Hyperlocal & Cultural",Small,Rare,"Not started","Anganwadi, ASHA worker, fair-price shop, gram panchayat office, post office, weekly santhe — categories no global map has.","Becomes the de-facto map for rural & government workflows."
hyp-3,"Festival / jatre overlay","Hyperlocal & Cultural",Medium,Rare,"Not started","Time-bound markers (only visible during the festival window), recurring yearly with countdowns.","Hugely under-served — pilgrims and travellers plan around these."
hyp-4,"Curated pilgrimage tour packs","Hyperlocal & Cultural",Small,Rare,"Not started","Pre-built Char Dham, Ashtavinayak, 7 Tirupathis, Ayyappa, Sufi-circuit packs — one-tap import to your map.","Massive existing demand, no clean product owns it."
hyp-5,"Local transport layers","Hyperlocal & Cultural",Medium,Breakthrough,"Not started","Auto-rickshaw fare estimator, KSRTC/RTC bus stops with timings, ferry routes, intercity shared-taxi pickups.","Solves the 'how do I actually get there' problem better than Google in Tier-2/3 India."
hyp-6,"Public utility finder","Hyperlocal & Cultural",Small,Rare,"Not started","Public toilets, drinking-water taps, free wifi, charging points — community-tagged with photos.","Genuinely useful, completely absent from Google. Strong word-of-mouth driver."
hyp-7,"Crop / land-use overlay","Hyperlocal & Cultural",Large,Breakthrough,"Not started","Crowdsourced overlay of cropping pattern, soil type, water table, panchayat boundaries.","Powers agri-tech, govt, NGO use-cases — adjacent revenue surface."
